# 
# cfe-sb-stats-tlm.txt
# 
# This file should have the following comma delimited fields:
#   1. Data item description
#   2. Offset of data item in packet
#   3. Length of data item
#   4. Python data type of item ( using python struct library )
#   5. Display type of item ( Currently Dec, Hex, Str, Enm ) 
#   6. Display string for enumerated value 0 ( or NULL if none ) 
#   7. Display string for enumerated value 1 ( or NULL if none ) 
#   8. Display string for enumerated value 2 ( or NULL if none ) 
#   9. Display string for enumerated value 3 ( or NULL if none ) 
# 
#  Note(1): A line that begins with # is a comment
#  Note(2): Remove any blank lines from the end of the file
#
Msg IDs In Use,         12,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Peak Msg IDs In Use,    16,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Max Msg IDs Allowed,    20,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Pipes In Use,           24,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Peak Pipes In Use,      28,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Max Pipes Allowed,      32,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Mem In Use,             36,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Peak Mem In Use,        40,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Max Mem Allowed,        44,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Subscriptions In Use,   48,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Peak Subs In Use,       52,     4,      H,  Dec,    NULL,   NULL,       NULL,   NULL
Max Subs Allowed,       56,     4,      H,  Dec,    NULL,   NULL,       NULL,   NULL
Buffers In Use          60,     4,      H,  Dec,    NULL,   NULL,       NULL,   NULL
Peak Buffers In Use,    64,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
Max Pipe Depth Allowed, 68,     4,      I,  Dec,    NULL,   NULL,       NULL,   NULL
0:  Pipe ID,            72,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
0:  Depth,              76,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
0:  In Use,             80,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
0:  Peak In Use,        84,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
1:  Pipe ID,            88,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
1:  Depth,              92,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
1:  In Use,             96,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
1:  Peak In Use,        100,    2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
2:  Pipe ID,            86,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
2:  Depth,              88,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
2:  In Use,             90,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
2:  Peak In Use,        92,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
3:  Pipe ID,            94,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
3:  Depth,              96,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
3:  In Use,             98,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
3:  Peak In Use,        100,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
4:  Pipe ID,            102,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
4:  Depth,              104,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
4:  In Use,             106,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
4:  Peak In Use,        108,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
5:  Pipe ID,            110,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
5:  Depth,              112,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
5:  In Use,             114,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
5:  Peak In Use,        116,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
6:  Pipe ID,            118,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
6:  Depth,              120,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
6:  In Use,             122,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
6:  Peak In Use,        124,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
7:  Pipe ID,            126,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
7:  Depth,              128,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
7:  In Use,             130,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
7:  Peak In Use,        132,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
8:  Pipe ID,            134,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
8:  Depth,              136,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
8:  In Use,             138,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
8:  Peak In Use,        140,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
9:  Pipe ID,            142,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
9:  Depth,              144,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
9:  In Use,             146,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
9:  Peak In Use,        148,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
10:  Pipe ID,           150,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
10:  Depth,             152,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
