# 
# cfe-time-hk-tlm.txt
# 
# This file should have the following comma delimited fields:
#   1. Data item description
#   2. Offset of data item in packet
#   3. Length of data item
#   4. Python data type of item ( using python struct library )
#   5. Display type of item ( Currently Dec, Hex, Str, Enm ) 
#   6. Display string for enumerated value 0 ( or NULL if none ) 
#   7. Display string for enumerated value 1 ( or NULL if none ) 
#   8. Display string for enumerated value 2 ( or NULL if none ) 
#   9. Display string for enumerated value 3 ( or NULL if none ) 
# 
#  Note(1): A line that begins with # is a comment
#  Note(2): Remove any blank lines from the end of the file
#
Command Counter,       12,  1,  B, Dec, NULL,        NULL,        NULL,       NULL
Error Counter,         13,  1,  B, Dec, NULL,        NULL,        NULL,       NULL  
State Flags,           14,  2,  H, Hex, NULL,        NULL,        NULL,       NULL  
API State,             16,  2,  H, Hex, NULL,        NULL,        NULL,       NULL
Leap Seconds,          18,  2,  H, Dec, NULL,        NULL,        NULL,       NULL
MET (secs),            20,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
MET (subs),            24,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
STCF (secs),           28,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
STCF (subs),           32,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
1Hz Adjust (secs),     36,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
1Hz Adjust (subs),     40,  4,  I, Dec, NULL,        NULL,        NULL,       NULL
